-----
{
 "description": "More than 1 Lakh Community Service Centers(CSC) with Broadband Connectivity are envisaged. These are last mile kiosk for providing e-services to citizens. The CSCs have been established in PPP mode where Service Center Agencies(SCA) have been selected to run the kiosk. District Wise CSC Roll out...", 
 "file_name": "District_wise_CSC_rollout_and_connectivity.csv", 
 "title": "District Wise Community Service Centers(CSC) Roll out and Connectivity ", 
 "url": "http://data.gov.in/sites/default/files/District_wise_CSC_rollout_and_connectivity.csv"
}
-----
 State , Service Centre Agency, Divisions / Zones , Name of Districts  , Total CSCs to be set up , Roll Out as on 30th Sept 2012 , CSCs Connected  , BSNL, VSAT, Data Card, Others
Karnataka,Comat (Nemadi Centers),Mysore,Mandya,32,32,32,0,0,32,0
Karnataka,Comat (Nemadi Centers),Mysore,Mysore,36,36,36,0,0,36,0
Karnataka,Comat (Nemadi Centers),Mysore,Udupi,10,10,10,0,0,10,0
Karnataka,SCA not Selected,Karnataka,Karnataka,4913,0,0,0,0,0,0
Kerala,Akshaya,North Kerala,Kannur,161,183,183,169,0,1,13
Kerala,Akshaya,North Kerala,Kasaragod,82,93,93,82,0,0,11
Kerala,Akshaya,North Kerala,Kozhikode,172,142,142,131,0,1,10
Kerala,Akshaya,North Kerala,Malappuram,272,189,189,173,0,1,15
Kerala,Akshaya,North Kerala,Pallakad,208,175,175,161,0,1,13
Kerala,Akshaya,North Kerala,Thrissur,193,174,174,156,0,1,17
Kerala,Akshaya,North Kerala,Wayanad,67,69,69,55,0,1,13
Kerala,Akshaya,South Kerala,Alappuzah,207,165,165,162,0,0,3
Kerala,Akshaya,South Kerala,Ernakulam,186,184,184,164,0,1,19
Kerala,Akshaya,South Kerala,Idukki,76,76,76,75,0,1,0
Kerala,Akshaya,South Kerala,Kollam,142,111,111,99,0,1,11
Kerala,Akshaya,South Kerala,Kottayam,139,123,123,111,0,0,12
Kerala,Akshaya,South Kerala,Pathanamthitta,109,75,75,68,0,2,5
Kerala,Akshaya,South Kerala,Thiruvananthapuram,186,140,140,126,0,2,12
Kerala,Akshaya,South Kerala,Sub Centers,0,336,0,0,0,0,0
Lakshadweep,LITSS,LITSS,LITSS,18,12,12,0,0,1,11
Madhya Pradesh,AISECT,Chambal,Bhind,157,169,169,23,0,27,119
Madhya Pradesh,AISECT,Chambal,Morena,137,140,140,25,0,16,99
Madhya Pradesh,AISECT,Chambal,Sheopur,102,102,102,16,0,25,61
Madhya Pradesh,AISECT,Rewa,Anuppur,96,105,105,8,0,34,63
Madhya Pradesh,AISECT,Rewa,Rewa,452,461,461,30,0,5,426
